Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,EZVote Code,Election Code,Boss Code
101,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street ,Austin,11/6/2012,7:00,19:00,78725,30.242793,-97.58975,N,ED,R,427,G12,30
102,Copperfield Elementary School,,12135 Thompkins Drive ,Austin,11/6/2012,7:00,19:00,78753,30.388804,-97.660432,NE,ED,R,302,G12,31
103,Graham Elementary School,108,11211 Tom Adams Drive ,Austin,11/6/2012,7:00,19:00,78753,30.37256,-97.668865,NE,ED,R,701,G12,32
104,Cedar View Rehabilitation,,11020 Dessau Road ,Austin,11/6/2012,7:00,19:00,78754,30.369802,-97.668328,NE,ED,R,347,G12,33
105,Manor ISD Administration Building,,10335 Hwy 290 East ,Manor,11/6/2012,7:00,19:00,78653,30.345047,-97.573142,E,ED,R,1339,G12,34
106,Neidig Elementary School,,13700 County Line Road ,Elgin,11/6/2012,7:00,19:00,78621,30.360388,-97.407671,E,ED,R,1449,G12,35
107,New Sweden Lutheran Church,,12809 New Sweden Church Road ,Manor,11/6/2012,7:00,19:00,78653,30.40574,-97.48647,NE,ED,R,1405,G12,36
108,Combined @ 103 Graham Elementary School,,11211 Tom Adams Drive ,Austin,11/6/2012,7:00,19:00,78753,30.37256,-97.668865,NE,ED,R,701,G12,32
109,Parmer Lane Elementary School,,1806 Parmer Lane ,Austin,11/6/2012,7:00,19:00,78727,30.414372,-97.691717,N,ED,R,1600,G12,37
110,Park Crest Middle School,161,1500 North Railroad Avenue ,Pflugerville,11/6/2012,7:00,19:00,78660,30.45636,-97.61767,NE,ED,R,1675,G12,38
111,Westview Middle School,,1805 Scofield Lane ,Austin,11/6/2012,7:00,19:00,78727,30.41761,-97.68867,N,ED,R,2304,G12,39
112,Dessau Elementary School,,1501 Dessau Ridge Lane ,Austin,11/6/2012,7:00,19:00,78754,30.40165,-97.64394,NE,ED,R,401,G12,40
113,Wieland Elementary School,,900 Tudor House Road ,Pflugerville,11/6/2012,7:00,19:00,78660,30.42227,-97.63925,NE,ED,R,2334,G12,41
114,Combined @ 101 Dailey Middle School,,14000 Westall Street ,Austin,11/6/2012,7:00,19:00,78725,30.242793,-97.58975,N,ED,R,427,G12,30
115,Combined @ 101 Dailey Middle School,,14000 Westall Street ,Austin,11/6/2012,7:00,19:00,78725,30.242793,-97.58975,N,ED,R,427,G12,30
116,Combined @ 101 Dailey Middle School,,14000 Westall Street ,Austin,11/6/2012,7:00,19:00,78725,30.242793,-97.58975,N,ED,R,427,G12,30
117,Overton Elementary School,120,7201 Colony Loop Drive ,Austin,11/6/2012,7:00,19:00,78724,30.30024,-97.63674,E,ED,R,1587,G12,42
118,Combined @ 130 Memorial United Methodist Church,,6100 Berkman Drive ,Austin,11/6/2012,7:00,19:00,78723,30.316303,-97.692897,E,ED,R,1315,G12,49
119,Combined @ 101 Dailey Middle School,,14000 Westall Street ,Austin,11/6/2012,7:00,19:00,78725,30.242793,-97.58975,N,ED,R,427,G12,30
120,Combined @ 117 Overton Elementary School,,7201 Colony Loop Drive ,Austin,11/6/2012,7:00,19:00,78724,30.30024,-97.63674,E,ED,R,1587,G12,42
121,LBJ High School,"128, 131, 134",7309 Lazy Creek Drive ,Austin,11/6/2012,7:00,19:00,78724,30.31232,-97.655561,S,ED,R,1201,G12,43
122,YMCA East Community Branch,,5315 Ed Bluestein Boulevard ,Austin,11/6/2012,7:00,19:00,78723,30.291849,-97.662234,E,ED,R,2500,G12,44
123,Murchison Elementary School,,2215 Kelly Lane ,Pflugerville,11/6/2012,7:00,19:00,78660,30.468021,-97.586403,NE,ED,R,1336,G12,45
124,Carver Library and Museum Complex,,1161 Angelina Street ,Austin,11/6/2012,7:00,19:00,78702,30.269872,-97.724054,E,ED,R,335,G12,46
125,Combined @ 154 Bluebonnet Trail Elementary School,,11316 Farmhaven Road ,Austin,11/6/2012,7:00,19:00,78754,30.35188,-97.61771,E,ED,R,244,G12,68
